index,time,x,y,z,roll,pitch,yaw
0,0,0.15264892578125,-0.0703277587890625,-0.984710693359375,-0.0017691379180178046,0.0018554243724793196,-0.00027057717670686543
1,0.05,0.159881591796875,-0.0570068359375,-0.984100341796875,-0.0006332996999844909,-0.0015062838792800903,-0.002223206916823983
2,0.099,0.157958984375,-0.0667266845703125,-0.98468017578125,-0.002302302746102214,0.0035292210523039103,-0.0054666707292199135
3,0.149,0.155029296875,-0.0606842041015625,-0.9855804443359375,-0.0002681803307496011,-0.000580036488827318,-0.0029726203065365553
4,0.199,0.1608123779296875,-0.063232421875,-0.9823455810546875,-0.0027502465527504683,0.00016964336100500077,-0.0030770162120461464
5,0.249,0.15447998046875,-0.063201904296875,-0.984832763671875,-0.003349191276356578,-0.0009816411184147,-0.0016993631143122911
6,0.299,0.1595458984375,-0.0588226318359375,-0.9837493896484375,-0.0015560849569737911,0.0003283677506260574,-0.002764627570286393
7,0.349,0.151947021484375,-0.0633697509765625,-0.9852294921875,0.000022636868379777297,-0.0012330436147749424,-0.001663410454057157
8,0.398,0.161041259765625,-0.05999755859375,-0.983978271484375,-0.002130795270204544,0.0010349043877795339,-0.002713228575885296
9,0.448,0.1552581787109375,-0.0653076171875,-0.9855194091796875,-0.0038048583082854748,0.0018761969404295087,-0.004630970768630505
10,0.498,0.1566619873046875,-0.0622711181640625,-0.9842071533203125,-0.003022421384230256,-0.00013076121103949845,-0.004091946873813868
11,0.548,0.1583099365234375,-0.0618896484375,-0.9844207763671875,-0.0012186624808236957,-0.0005813680472783744,-0.002674079965800047
12,0.598,0.15509033203125,-0.0635986328125,-0.9842987060546875,-0.0015813850332051516,-0.00023515711654908955,-0.0021941782906651497
13,0.648,0.1597900390625,-0.0610809326171875,-0.984222412109375,-0.0021968416403979063,0.0008223841432482004,-0.0014306501252576709
14,0.697,0.1537322998046875,-0.0627593994140625,-0.984588623046875,-0.003328951308503747,-0.00013662016135640442,-0.002947586588561535
15,0.747,0.1570892333984375,-0.062744140625,-0.982940673828125,-0.0028610338922590017,-0.00031798143754713237,-0.004322576802223921
16,0.797,0.157958984375,-0.0604095458984375,-0.9841156005859375,-0.0009353021741844714,-0.0003328951424919069,-0.0013765880139544606
17,0.847,0.157684326171875,-0.065521240234375,-0.9846649169921875,-0.003965979442000389,-0.00007137271313695237,-0.003971039317548275
18,0.897,0.156463623046875,-0.0604705810546875,-0.985015869140625,-0.0026194851379841566,-0.00138031633105129,-0.002438922878354788
19,0.947,0.1570892333984375,-0.062835693359375,-0.9838104248046875,-0.002014415105804801,0.0004958806093782187,-0.003150785807520151
20,0.996,0.1560211181640625,-0.0611724853515625,-0.98541259765625,-0.0015480954898521304,0.00035659727291204035,-0.003329750383272767
21,1.046,0.1574554443359375,-0.0637664794921875,-0.98419189453125,-0.003507383167743683,0.00041784998029470444,-0.002624545246362686
22,1.096,0.16082763671875,-0.05718994140625,-0.9958648681640625,0.00851758848875761,-0.012387427501380444,0.0002079928817693144
23,1.146,0.167572021484375,-0.064849853515625,-0.9867401123046875,-0.006820355542004108,0.004256263840943575,-0.006419016979634762
24,1.196,0.1504974365234375,-0.0612030029296875,-0.9844512939453125,0.00018722022650763392,0.0018881811993196607,0.0014559502014890313
25,1.246,0.1628265380859375,-0.0611114501953125,-0.9839019775390625,-0.0054725296795368195,0.0010426276130601764,-0.008124771527945995
26,1.295,0.1521148681640625,-0.068115234375,-0.9841461181640625,-0.0019883159548044205,0.0004247741890139878,-0.001701759872958064
