index,time,x,y,z,roll,pitch,yaw
0,0,-0.1204071044921875,-0.469268798828125,-0.8117828369140625,-1.0709683895111084,-1.632341742515564,0.24713069200515747
1,0.748,0.2671661376953125,-0.5601959228515625,-1.3683319091796875,0.1901901811361313,0.1873834729194641,-0.1545240581035614
2,0.797,0.12176513671875,-0.46173095703125,-0.54144287109375,-0.618815541267395,-1.0557105541229248,-0.4012555480003357
3,0.947,0.2815704345703125,-0.22503662109375,-1.0611724853515625,-0.3571150004863739,0.20934151113033295,0.07196606695652008
4,2.392,-0.0214080810546875,-0.8151092529296875,-0.744873046875,-0.2795301675796509,1.0355310440063477,0.4086543321609497
5,2.89,-0.52691650390625,-0.9485321044921875,-0.7052459716796875,0.7894285917282104,-0.5650841593742371,-0.21889185905456543
6,3.239,-0.0899658203125,-0.69525146484375,-0.02197265625,3.29530930519104,-1.4541935920715332,-0.7822790741920471
7,3.538,0.234039306640625,-0.7831573486328125,0.6070556640625,2.544515371322632,-0.9002792239189148,-0.3775496780872345
8,3.986,-0.2275390625,-0.44244384765625,1.243011474609375,0.36822062730789185,0.26832544803619385,0.4064955711364746
9,4.186,-0.4280548095703125,-0.4619293212890625,0.1103515625,-5.127072334289551,3.0242795944213867,0.7976527214050293
10,4.385,-0.37847900390625,-0.5825653076171875,-0.573822021484375,-4.90704345703125,3.0228283405303955,0.7914560437202454
11,4.485,-0.2452850341796875,-0.208526611328125,-1.2662200927734375,-3.8576745986938477,4.205643653869629,1.0084946155548096
12,4.634,0.2039337158203125,0.3950042724609375,-1.1572418212890625,-3.015239953994751,2.78555965423584,-0.49122750759124756
13,4.834,0.52288818359375,0.7024383544921875,-0.651092529296875,-1.0321823358535767,-1.0656678676605225,2.7867813110351562
14,5.083,0.2345123291015625,0.1306915283203125,-0.7950897216796875,1.382124900817871,-3.5428106784820557,3.466402292251587
15,5.282,-0.5773162841796875,-0.099822998046875,-0.917816162109375,0.30530664324760437,-3.897801160812378,2.1871423721313477
16,5.432,-0.749755859375,-0.134033203125,-0.4115142822265625,1.1095948219299316,-0.036792900413274765,-3.888683795928955
17,5.681,-0.4361114501953125,-0.706146240234375,-0.8389434814453125,-0.04524577409029007,1.4196134805679321,0.21812807023525238
18,6.827,-0.9820556640625,-0.4821624755859375,-1.3041229248046875,-0.15285132825374603,0.14911198616027832,0.9305620193481445
19,6.926,-0.4093780517578125,-0.194122314453125,-0.4669647216796875,0.9135249853134155,2.129565477371216,0.8018114566802979
20,7.176,-0.731536865234375,-0.5995635986328125,-1.128082275390625,-0.022397184744477272,-0.19421634078025818,0.4140626788139343
21,7.375,-0.5124969482421875,-0.0696563720703125,-0.69586181640625,-1.431151032447815,1.6679422855377197,0.19675274193286896
22,7.823,-0.498291015625,-0.030059814453125,-1.2589263916015625,1.4571256637573242,-1.1302080154418945,-0.11569757014513016
23,8.023,-0.3336944580078125,-0.1463775634765625,-0.7356414794921875,1.7481732368469238,1.550529956817627,1.4968321323394775
24,8.621,-0.5040283203125,-0.6091156005859375,-0.1968231201171875,1.0494582653045654,-1.2021514177322388,-0.8767893314361572
25,9.019,-0.131591796875,-0.8731231689453125,-0.717437744140625,-0.15838058292865753,0.4112410843372345,-0.059130165725946426
26,9.717,-0.369049072265625,-0.5750579833984375,-1.4709930419921875,-1.5064373016357422,-0.7662673592567444,-1.7099403142929077
27,9.767,-0.231048583984375,-0.3903961181640625,-0.967376708984375,-1.219260334968567,0.19420117139816284,-1.1677521467208862
28,10.913,0.1319580078125,-0.3131103515625,-1.477783203125,-0.35076388716697693,-0.9354994893074036,-0.6657644510269165
29,10.963,0.1232452392578125,-0.26385498046875,-0.93780517578125,1.1228950023651123,0.7517368793487549,0.39425861835479736
30,11.511,-0.170867919921875,0.1564178466796875,-2.048065185546875,-1.4701772928237915,-0.8133568167686462,1.644675850868225
31,11.561,-0.3646392822265625,-0.290191650390625,-1.165802001953125,1.4275983572006226,1.4660097360610962,2.748187303543091
32,11.76,0.3140716552734375,-0.232421875,-0.8561553955078125,0.6684214472770691,2.1267287731170654,2.018752098083496
33,12.059,-0.2747344970703125,-0.4734954833984375,-0.7832489013671875,-0.6619611978530884,-0.7712844610214233,1.798014521598816
