index,time,acc x,acc y,acc z,ori x,ori z,punch
0,0,-0.1898040771484375,-0.62139892578125,-0.869720458984375,-0.8136582301926767,-0.17483434910621481,None
1,0.05,-0.11334228515625,-0.576568603515625,-0.680755615234375,-0.7630851691838111,0.1260365835109897,None
2,0.1,0.0886688232421875,-0.5178375244140625,-0.6022491455078125,-0.758245406315845,-0.11094686701611392,None
3,0.15,-0.118133544921875,-0.5909271240234375,-0.7454071044921875,-0.783629620945089,0.1232443337373476,None
4,0.199,0.04412841796875,-0.7006378173828125,-0.5992431640625,-0.6499759291301173,-0.04780965697294253,None
5,0.249,0.0107269287109375,-0.7275238037109375,-0.8539886474609375,-0.6793722627195601,-0.09355431867186668,None
6,0.299,-0.068756103515625,-0.64068603515625,-1.0424041748046875,-0.6770186971173245,-0.14011818981797775,None
7,0.349,-0.0948638916015625,-0.5861663818359375,-0.7670745849609375,-0.7945677458026712,0.09779296212166709,None
8,0.399,-0.012237548828125,-0.52740478515625,-0.804718017578125,-0.8363773911402891,0.012717972195894692,None
9,0.449,-0.0059356689453125,-0.639495849609375,-0.7486572265625,-0.7603647491265046,0.006028381558775724,None
10,0.499,-0.042938232421875,-0.4923095703125,-0.9722137451171875,-0.7252204102815241,-0.0696666060775376,None
11,0.548,-0.1322174072265625,-0.5522613525390625,-0.7701873779296875,-0.8126703539406054,0.1381722687537198,None
12,0.598,0.3157958984375,-0.2143096923828125,-0.494903564453125,-0.76738648032817,0.1355086104769068,None
13,0.648,0.2022247314453125,-0.5406494140625,-0.2117919921875,-0.3647480971287431,-0.32889572027853164,None
14,0.698,-0.1467437744140625,-0.9574737548828125,-0.5342864990234375,-0.2670994657928345,-0.24262028005435707,None
15,0.748,-0.9286041259765625,-1.9161529541015625,-0.8004913330078125,-0.22576303214827226,-0.2348797643813549,None
16,0.798,-0.6583251953125,-1.6213531494140625,-0.655914306640625,-0.19476383381389348,-0.2910395807117514,None
17,0.847,-0.108001708984375,-0.802001953125,-0.3663177490234375,-0.41546731142216453,0.12158375719743661,None
18,0.897,0.0991363525390625,-0.440399169921875,0.422882080078125,0.6926160997493067,-0.16027121018060708,None
19,0.947,0.014404296875,-0.6394500732421875,0.390960693359375,0.5216303437716198,-0.01921505468191966,None
20,0.997,-0.2118682861328125,-1.2260284423828125,-0.4603118896484375,0.4659704379414107,-0.06448637012461937,None
