index,time,acc x,acc y,acc z,ori x,ori z,punch
0,0,0.158447265625,-0.918182373046875,-0.4871673583984375,-0.4686921954499712,0.1506975092881355,None
1,0.05,0.174468994140625,-0.91119384765625,-0.468414306640625,-0.45719388098537206,-0.16787310506079134,None
2,0.1,0.1386260986328125,-0.8895263671875,-0.482147216796875,-0.47652798808840885,-0.1357423233025002,None
3,0.15,0.204376220703125,-0.8189697265625,-0.4283447265625,-0.4634640219322356,-0.21591657922278396,None
4,0.2,0.2327728271484375,-0.7895965576171875,-0.373565673828125,-0.42766203610421216,-0.2574950232537822,None
5,0.249,0.1352386474609375,-0.8103790283203125,-0.525421142578125,-0.5440233890709271,-0.1386737756617482,None
6,0.299,0.1534271240234375,-0.8273162841796875,-0.609130859375,-0.5929021125554472,-0.14770149032040886,None
7,0.349,0.1519775390625,-0.857391357421875,-0.589019775390625,-0.5662436624244237,-0.14456612902424704,None
8,0.399,0.173828125,-0.82647705078125,-0.553558349609375,-0.5564901044953072,-0.1721401847209734,None
9,0.449,0.180206298828125,-0.8021087646484375,-0.5105743408203125,-0.5369814046195479,-0.18621173548733796,None
10,0.499,0.1614227294921875,-0.802154541015625,-0.515960693359375,-0.5409726579164308,-0.16687475961743103,None
11,0.549,0.118865966796875,-0.83966064453125,-0.58538818359375,-0.5719045442146986,-0.11535284363805275,None
12,0.598,0.1513671875,-0.827301025390625,-0.6023712158203125,-0.5886175498783578,-0.14631918661439167,None
13,0.648,0.1988525390625,-0.8053436279296875,-0.501220703125,-0.5283915620616583,-0.20517246002203487,None
14,0.698,0.1693572998046875,-0.8211212158203125,-0.41363525390625,-0.4498868851721359,-0.18115244999688226,None
15,0.748,0.135406494140625,-0.8287353515625,-0.511199951171875,-0.5249976898835127,-0.13773584236200395,None
16,0.798,0.0669708251953125,-0.8431549072265625,-0.758392333984375,-0.5270719138781025,-0.1423075931276677,None
17,0.848,0.19927978515625,-0.7938079833984375,-0.568359375,-0.5821559328594034,-0.1999934424637543,None
18,0.897,0.2046966552734375,-0.7736053466796875,-0.574249267578125,-0.5960370346105522,-0.20782423360339322,None
