index,time,acc x,acc y,acc z,gyro x,gyro y,gyro z,mag x,mag y,mag z
0,0,0.0359649658203125,-0.995635986328125,-0.084442138671875,-0.07288113236427307,-0.020539097487926483,-0.03357021138072014,423.40264892578125,-17.289657592773438,-290.04541015625
1,0.05,0.006866455078125,-0.9944305419921875,-0.110992431640625,-0.0026256104465574026,-0.07290057092905045,0.03909733518958092,423.2550048828125,-17.359466552734375,-289.93780517578125
2,0.1,0.01849365234375,-0.989837646484375,-0.0826263427734375,0.022711170837283134,0.03705229237675667,-0.02364540845155716,423.24822998046875,-17.331207275390625,-289.9783020019531
3,0.149,0.025299072265625,-0.9887237548828125,-0.07769775390625,-0.014317686669528484,0.027471838518977165,-0.009577259421348572,423.0909423828125,-17.319244384765625,-289.94921875
4,0.199,0.015838623046875,-0.9908447265625,-0.104034423828125,-0.02341211587190628,-0.006736465729773045,-0.004211523104459047,423.1885986328125,-17.399490356445312,-289.928955078125
5,0.249,0.0202484130859375,-0.99468994140625,-0.0903778076171875,-0.007605188991874456,0.038790006190538406,-0.01449958048760891,423.31976318359375,-17.255813598632812,-289.95458984375
6,0.299,0.02410888671875,-0.9982757568359375,-0.1143646240234375,-0.008593754842877388,-0.02485981024801731,0.0080296965315938,423.3677062988281,-17.195419311523438,-289.88238525390625
7,0.349,0.0201416015625,-0.9924163818359375,-0.089141845703125,0.01733291707932949,0.03497209772467613,-0.010272610932588577,423.1767883300781,-17.164199829101562,-289.84722900390625
8,0.399,0.0225830078125,-0.991180419921875,-0.08612060546875,-0.0026469158474355936,0.015485482290387154,-0.015170164406299591,423.1585388183594,-17.184097290039062,-290.07562255859375
9,0.448,0.0241241455078125,-0.989532470703125,-0.096466064453125,-0.011258780024945736,0.008406800217926502,-0.0028762139845639467,423.27130126953125,-17.4449462890625,-289.6894836425781
10,0.498,0.01873779296875,-0.99700927734375,-0.09356689453125,-0.01600639708340168,0.04531848058104515,-0.02063017711043358,423.2896728515625,-17.391555786132812,-289.84429931640625
11,0.548,0.02716064453125,-0.995758056640625,-0.0981597900390625,0.0030003173742443323,0.007787082809954882,0.001561944023706019,423.04803466796875,-17.080886840820312,-289.59588623046875
12,0.598,0.0243682861328125,-0.992156982421875,-0.095703125,0.0004689826746471226,0.022051239386200905,-0.0036597158759832382,423.2854309082031,-17.3489990234375,-289.85284423828125
13,0.648,0.02459716796875,-0.996856689453125,-0.1032867431640625,-0.011284079402685165,-0.001178448786959052,-0.005555886775255203,423.38348388671875,-17.326400756835938,-289.7374572753906
14,0.698,0.026397705078125,-0.9919586181640625,-0.0938720703125,0.015731291845440865,0.025776203721761703,-0.01296240370720625,423.26019287109375,-17.31280517578125,-289.79644775390625
15,0.747,0.0210723876953125,-0.99249267578125,-0.09503173828125,-0.002576608443632722,-0.01480770856142044,0.0049550775438547134,423.3017883300781,-17.289749145507812,-290.2796936035156
16,0.797,0.022216796875,-0.99822998046875,-0.100616455078125,0.006928479764610529,0.020077038556337357,-0.0026088326703757048,423.3012390136719,-17.254302978515625,-289.832275390625
17,0.847,0.02777099609375,-0.9939727783203125,-0.0969696044921875,0.005642971955239773,0.0348285548388958,-0.016511065885424614,423.1852722167969,-17.155746459960938,-290.080322265625
18,0.897,0.0278778076171875,-0.99420166015625,-0.10076904296875,-0.001600559800863266,-0.0012293151812627912,-0.0017353157745674253,423.37335205078125,-17.221328735351562,-290.22003173828125
19,0.947,0.0256500244140625,-0.9941558837890625,-0.083648681640625,0.02117372862994671,0.017076455056667328,-0.011874502524733543,423.3060302734375,-17.1165771484375,-289.94891357421875
20,0.997,0.02972412109375,-0.991424560546875,-0.09130859375,-0.02570216730237007,0.017438644543290138,-0.016637565568089485,423.14581298828125,-17.190048217773438,-290.0865783691406
21,1.046,0.0281524658203125,-0.9925537109375,-0.096160888671875,-0.007543137297034264,0.007792941760271788,0.010328537784516811,423.18328857421875,-17.100845336914062,-289.75323486328125
22,1.096,0.021392822265625,-0.9947509765625,-0.0977935791015625,-0.008363391272723675,0.04501621052622795,-0.010162089951336384,423.36651611328125,-17.056625366210938,-289.84893798828125
23,1.146,0.034698486328125,-0.994293212890625,-0.09857177734375,-0.008800948038697243,-0.004442152567207813,0.002386192325502634,423.3331298828125,-16.877227783203125,-289.56280517578125
24,1.196,0.0257415771484375,-0.991546630859375,-0.0901336669921875,0.025257686153054237,0.02142113633453846,-0.0015853798249736428,423.2785339355469,-17.106185913085938,-289.77642822265625
25,1.246,0.0227813720703125,-0.99176025390625,-0.0910186767578125,-0.01865464448928833,0.009839314967393875,0.0005403553950600326,423.07171630859375,-17.089187622070312,-289.57989501953125
26,1.296,0.0243988037109375,-0.993255615234375,-0.0849609375,0.005618204362690449,0.03773779049515724,0.0033838124945759773,423.1706848144531,-17.163681030273438,-289.7929382324219
27,1.345,0.033416748046875,-0.9927825927734375,-0.10052490234375,-0.01636965200304985,0.007668572477996349,-0.0005214469274505973,423.1706848144531,-17.163681030273438,-289.7929382324219
28,1.395,0.0205535888671875,-0.996429443359375,-0.1037750244140625,0.010338391177356243,0.006579605862498283,0.0017736653098836541,423.10076904296875,-17.081039428710938,-290.00421142578125
29,1.445,0.029998779296875,-0.9930877685546875,-0.0908355712890625,0.0007912251749075949,0.026493392884731293,-0.00640729907900095,423.06597900390625,-17.076950073242188,-289.54449462890625
30,1.495,0.02716064453125,-0.9916839599609375,-0.0971832275390625,-0.0015270565636456013,-0.007126352749764919,0.009968211874365807,423.2261047363281,-16.995803833007812,-289.7086181640625
31,1.545,0.0274810791015625,-0.994140625,-0.097442626953125,0.01239541731774807,0.02684865891933441,-0.007320763543248177,423.0280456542969,-17.155975341796875,-289.76409912109375
32,1.595,0.0263214111328125,-0.9909210205078125,-0.0886993408203125,-0.011085407808423042,0.0072954632341861725,-0.005161472596228123,423.2160339355469,-17.12420654296875,-289.756103515625
33,1.645,0.02569580078125,-0.9924468994140625,-0.09051513671875,0.013377324678003788,0.02605690062046051,0.0006343649583868682,423.10675048828125,-17.153076171875,-289.5830383300781
34,1.694,0.0267333984375,-0.9975738525390625,-0.106353759765625,-0.002350505907088518,-0.007672566920518875,-0.004066913388669491,423.16094970703125,-16.966323852539062,-289.60382080078125
35,1.744,0.0218048095703125,-0.9894561767578125,-0.094573974609375,0.01780536212027073,0.01842268370091915,-0.009307214990258217,423.3088073730469,-16.929397583007812,-289.66986083984375
36,1.794,0.0324554443359375,-0.993743896484375,-0.0826568603515625,-0.006792658474296331,-0.0033835461363196373,-0.001859685406088829,423.23748779296875,-17.147201538085938,-289.6092529296875
37,1.844,0.0233612060546875,-0.9941558837890625,-0.094024658203125,0.00138031633105129,0.015058844350278378,-0.00809361319988966,423.2373046875,-17.012298583984375,-289.6624755859375
38,1.894,0.0315399169921875,-0.994598388671875,-0.0971221923828125,-0.007026484236121178,-0.003370230318978429,-0.0011310444679111242,423.3256530761719,-17.28912353515625,-289.782470703125
39,1.944,0.020721435546875,-0.9969329833984375,-0.0880889892578125,0.0041100564412772655,-0.0012024171883240342,-0.005891711451113224,423.31689453125,-17.27276611328125,-289.49432373046875
40,1.993,0.031768798828125,-0.987945556640625,-0.0835418701171875,0.001526257605291903,0.016381902620196342,-0.004517253953963518,423.0792236328125,-17.14306640625,-289.7120361328125
41,2.043,0.0263824462890625,-0.9957733154296875,-0.0971527099609375,-0.0031875374261289835,-0.006687197368592024,0.0016666061710566282,423.1834716796875,-17.242416381835938,-289.4206848144531
42,2.093,0.029083251953125,-0.993896484375,-0.0890655517578125,-0.005605954211205244,0.0017835189355537295,-0.00914209894835949,423.00244140625,-17.138031005859375,-289.4806213378906
43,2.143,0.022613525390625,-0.993255615234375,-0.089569091796875,-0.0003225088003091514,0.00945235788822174,0.00663553224876523,423.0953063964844,-17.082565307617188,-289.4248352050781
44,2.193,0.0293121337890625,-0.9922943115234375,-0.086517333984375,0.005279184319078922,0.015835421159863472,-0.007743407040834427,423.1050109863281,-17.113922119140625,-289.455810546875
45,2.243,0.0317230224609375,-0.9919891357421875,-0.1000823974609375,-0.005210208240896463,-0.007215036079287529,0.005998237524181604,423.10772705078125,-17.0560302734375,-289.606689453125
46,2.292,0.0201416015625,-0.994720458984375,-0.09503173828125,-0.0023286680225282907,0.02352423407137394,0.004265851341187954,423.14306640625,-17.235031127929688,-289.29595947265625
