time,x,y,z,roll,pitch,yaw
0,0.120025634765625,-0.164459228515625,-0.95635986328125,-0.03421895578503609,0.04966262727975845,-0.005298891570419073
0.049,0.1590576171875,-0.154296875,-0.9803466796875,0.001975266495719552,-0.004529770463705063,-0.0016450346447527409
0.099,0.1518707275390625,-0.1697845458984375,-0.969879150390625,-0.01233656145632267,0.01323990523815155,-0.003605653764680028
0.149,0.15679931640625,-0.1519775390625,-0.9745941162109375,0.010802846401929855,-0.016263924539089203,-0.0024319987278431654
0.199,0.1424407958984375,-0.1600341796875,-0.973388671875,-0.013037504628300667,0.019288210198283195,-0.004159591160714626
0.249,0.1472320556640625,-0.15869140625,-0.9777984619140625,0.00914289802312851,-0.017527595162391663,-0.0018642127979546785
0.299,0.1500244140625,-0.1561737060546875,-0.9741668701171875,-0.009347163140773773,0.012501411139965057,-0.004739094991236925
0.348,0.1472625732421875,-0.1646270751953125,-0.9744873046875,-0.0016841830220073462,-0.0025688852183520794,-0.0043502734042704105
0.398,0.152679443359375,-0.1569366455078125,-0.974517822265625,0.002481799805536866,-0.007213704288005829,-0.003766508772969246
0.448,0.1454925537109375,-0.162567138671875,-0.972930908203125,-0.009461412206292152,0.009575395844876766,-0.004831240512430668
0.498,0.1439208984375,-0.15533447265625,-0.977294921875,0.006087453570216894,-0.012006595730781555,-0.002092445734888315
0.548,0.14520263671875,-0.15838623046875,-0.9741668701171875,-0.009398029185831547,0.012824186123907566,-0.0035414716694504023
0.598,0.1504669189453125,-0.1613311767578125,-0.975128173828125,0.0014626081101596355,-0.005802761763334274,-0.002561694709584117
0.647,0.1541900634765625,-0.15997314453125,-0.973876953125,-0.0033742249943315983,0.0019113506423309445,-0.002986735198646784
0.697,0.1487884521484375,-0.1619415283203125,-0.9735870361328125,-0.002630936913192272,0.0005608617211692035,-0.003612045431509614
0.747,0.1443634033203125,-0.15643310546875,-0.9758148193359375,0.000651675509288907,-0.004268514458090067,-0.0005581985460594296
0.797,0.143646240234375,-0.1598968505859375,-0.9752960205078125,-0.006523413117974997,0.006977482233196497,-0.0029941920656710863
0.847,0.1500091552734375,-0.1600341796875,-0.9739990234375,-0.000005858954409632133,-0.001698564155958593,-0.0030711572617292404
0.897,0.1538238525390625,-0.158905029296875,-0.9727325439453125,-0.002447977662086487,0.000811997801065445,-0.003482881933450699
0.946,0.1506500244140625,-0.1620635986328125,-0.973388671875,-0.0024048343766480684,-0.0020122844725847244,-0.003870638320222497
0.996,0.14605712890625,-0.1569976806640625,-0.9756317138671875,-0.0009536779834888875,-0.002064482541754842,-0.0036599822342395782
1.046,0.145111083984375,-0.1582794189453125,-0.9752960205078125,-0.0030269487760961056,0.0020298613235354424,-0.004188885912299156
1.096,0.14697265625,-0.1584930419921875,-0.9752197265625,-0.0022325278259813786,-0.0016639430541545153,-0.002398176584392786
1.146,0.149383544921875,-0.15887451171875,-0.97271728515625,-0.003296194365248084,0.002353169023990631,-0.003466370515525341
1.196,0.1502685546875,-0.1614227294921875,-0.9742889404296875,-0.00105354655534029,-0.0020703414920717478,-0.003120692213997245
1.245,0.1492767333984375,-0.1581878662109375,-0.9738311767578125,-0.0018945727497339249,-0.0006551376427523792,-0.004771585576236248
1.295,0.1474151611328125,-0.157806396484375,-0.9749908447265625,-0.0014692660188302398,0.001761148450896144,-0.0025483788922429085
1.345,0.1468963623046875,-0.158294677734375,-0.9745025634765625,-0.0016500946367159486,-0.0007084008539095521,-0.0030804784037172794
1.395,0.1494903564453125,-0.159393310546875,-0.9744415283203125,-0.0034852789249271154,0.003683950752019882,-0.0028458540327847004
1.445,0.1488189697265625,-0.15826416015625,-0.9747467041015625,0.0002892192860599607,-0.002040780382230878,-0.002983273006975651
1.495,0.148529052734375,-0.16064453125,-0.97418212890625,-0.004573712591081858,0.0017275925492867827,-0.0030072415247559547
1.544,0.1478118896484375,-0.160186767578125,-0.9748687744140625,-0.0021398498211055994,0.00045540055725723505,-0.0031012510880827904
1.594,0.1490478515625,-0.1591033935546875,-0.97369384765625,-0.001984587637707591,-0.00024154871061909944,-0.0018301242962479591
1.644,0.1468353271484375,-0.158782958984375,-0.9739990234375,-0.0030072415247559547,0.0014767227694392204,-0.0019180085510015488
1.694,0.14794921875,-0.1583709716796875,-0.974151611328125,-0.0002788329729810357,-0.0002564624010119587,-0.002011485630646348
1.744,0.14862060546875,-0.160736083984375,-0.9740447998046875,-0.004878112114965916,0.001520132296718657,-0.001648230361752212
1.794,0.1478118896484375,-0.1605682373046875,-0.9744720458984375,-0.0018080200534313917,-0.00048176583368331194,-0.003739877138286829
1.843,0.147735595703125,-0.159576416015625,-0.9740447998046875,-0.0033036512322723866,0.0003611246356740594,-0.0014530207263305783
1.893,0.14862060546875,-0.159515380859375,-0.974365234375,-0.0014887070283293724,0.0006143912323750556,-0.0037201696541160345
1.943,0.1488189697265625,-0.159576416015625,-0.974639892578125,-0.002558498876169324,-0.0008961536805145442,-0.003237072378396988
1.993,0.149200439453125,-0.1596221923828125,-0.9755859375,-0.002528937766328454,-0.0007044061203487217,-0.003200586885213852
2.043,0.1472015380859375,-0.1585845947265625,-0.9757843017578125,-0.0039007319137454033,0.0011347729014232755,-0.0029728866647928953
2.093,0.1492462158203125,-0.16058349609375,-0.974090576171875,-0.0028218855150043964,-0.001121989800594747,-0.002011219272390008
2.142,0.1491241455078125,-0.1591339111328125,-0.973907470703125,-0.0027446537278592587,-0.000955009541939944,-0.004169711377471685
2.192,0.1461181640625,-0.1593780517578125,-0.9750213623046875,-0.004316185135394335,0.0023574302904307842,-0.0035361452028155327
2.242,0.150848388671875,-0.1591949462890625,-0.9746551513671875,-0.0013936321483924985,-0.0009664611425250769,-0.005615807604044676
2.292,0.14642333984375,-0.1585235595703125,-0.9743804931640625,-0.0038743666373193264,0.00330231967382133,-0.003965979442000389
2.342,0.1465606689453125,-0.1586151123046875,-0.974456787109375,-0.0014285196084529161,-0.004372377879917622,-0.002769687445834279
2.392,0.14727783203125,-0.1605377197265625,-0.974090576171875,-0.003507649526000023,0.0017776599852368236,-0.003166232258081436
