index,time,acc x,acc y,acc z,ori x,ori z,punch
0,0,0.0082244873046875,-0.316650390625,-1.1263275146484375,-0.9626797210707297,0.007029351080396675,None
1,0.05,0.2381591796875,-0.1143646240234375,-1.087188720703125,-0.9511302300318848,0.019975863094191117,None
2,0.1,0.466705322265625,-0.25836181640625,-0.723052978515625,-0.922158158678654,0.09215105453356755,None
3,0.15,0.373443603515625,-0.273834228515625,-0.4568634033203125,-0.8798273387936458,0.22384535066104272,None
4,0.2,-0.23834228515625,-0.8522796630859375,-0.649017333984375,-0.6058432115553606,0.2171769410770096,None
5,0.249,-0.157012939453125,-0.78314208984375,-0.6668548583984375,-0.6483164814942282,0.15090005521665242,None
6,0.299,0.011474609375,-0.5484161376953125,-0.56903076171875,-0.7200289516621146,-0.014517985256374483,None
7,0.349,-0.1612548828125,-0.8408050537109375,-0.316314697265625,-0.35211166876783967,0.17668001895355115,None
8,0.399,0.2593231201171875,-0.676483154296875,-0.441192626953125,-0.5462746962999332,-0.30571526567269985,None
9,0.449,0.2633056640625,-0.6212158203125,-0.8593597412109375,-0.8104253001924333,-0.24099368798240048,None
10,0.499,0.175201416015625,-0.60791015625,-0.8658599853515625,-0.8184281774838408,-0.16337873370222464,None
11,0.549,0.0850372314453125,-0.6479949951171875,-0.849700927734375,-0.7951592464517891,-0.07932796694868052,None
12,0.598,-0.1567840576171875,-0.75958251953125,-0.681793212890625,-0.6679730106478013,0.15182528543278323,None
13,0.648,-0.010833740234375,-0.710784912109375,-0.8108673095703125,-0.751989950265506,0.010046591502376676,None
14,0.698,0.0478057861328125,-0.63616943359375,-0.79180908203125,-0.7795597551203602,-0.04701418337746319,None
15,0.748,-0.0681610107421875,-0.5766143798828125,-0.6499786376953125,-0.7480629673040432,0.07820650671168242,None
16,0.798,0.0272216796875,-0.474334716796875,-0.712738037109375,-0.8324942218984863,-0.03177948061877442,None
17,0.848,-0.0399932861328125,-0.5414581298828125,-0.6912841796875,-0.787254484982313,0.04549834855706819,None
18,0.897,0.484100341796875,-0.3486480712890625,-0.5700225830078125,-0.7727121589284682,-0.018567184724112416,None
19,0.947,0.161376953125,-0.438507080078125,-0.56512451171875,-0.7900523778394293,-0.22007607320780181,None
20,0.997,0.22357177734375,-0.3390045166015625,-0.7596588134765625,-0.8368066037033012,-0.18008577724267555,None
21,1.047,0.141265869140625,-0.448028564453125,-0.6163787841796875,-0.8088901911612353,-0.18228105280401777,None
