index,time,acc x,acc y,acc z,gyro x,gyro y,gyro z,mag x,mag y,mag z
0,0,-0.014678955078125,-1.0046539306640625,-0.1822509765625,0.1175663098692894,-0.36586427688598633,-0.07766922563314438,418.3600158691406,-4.90216064453125,-301.41546630859375
1,0.05,0.0003509521484375,-0.990325927734375,-0.1596221923828125,0.4617186188697815,-0.459698885679245,-0.25260135531425476,418.89447021484375,-4.67449951171875,-301.0839538574219
2,0.1,0.0021514892578125,-0.957427978515625,-0.1865234375,0.4012949764728546,-0.38386988639831543,-0.08256784826517105,419.2167663574219,-4.8282012939453125,-300.76544189453125
3,0.15,-0.0012054443359375,-0.97613525390625,-0.14849853515625,0.2185688316822052,-0.2221616953611374,-0.08583474904298782,419.424072265625,-4.5957794189453125,-300.98162841796875
4,0.2,0.001922607421875,-0.9534149169921875,-0.146942138671875,0.26690465211868286,-0.14747866988182068,-0.05832349509000778,419.53729248046875,-4.5022125244140625,-300.56268310546875
5,0.249,0.005157470703125,-0.9520721435546875,-0.1065216064453125,0.09156426787376404,-0.08574499934911728,-0.10307898372411728,419.53729248046875,-4.5022125244140625,-300.56268310546875
6,0.299,0.0171966552734375,-0.9391021728515625,-0.1618194580078125,0.002510561840608716,0.04938805475831032,-0.10815896093845367,419.8349914550781,-4.5089263916015625,-300.4755859375
7,0.349,0.0067596435546875,-0.9584197998046875,-0.141754150390625,0.16156838834285736,0.08064024895429611,-0.02628673054277897,420.2613830566406,-4.4652099609375,-300.1956787109375
8,0.399,-0.002960205078125,-0.95892333984375,-0.1461639404296875,0.1549837291240692,0.042273156344890594,0.07939788699150085,420.3979797363281,-4.5529327392578125,-300.0383605957031
9,0.449,-0.0251007080078125,-0.9931488037109375,-0.1024932861328125,0.10508514195680618,0.08654847741127014,0.002541188383474946,419.9825744628906,-4.3773956298828125,-299.813232421875
10,0.499,-0.034088134765625,-0.97308349609375,-0.16461181640625,0.08778630942106247,-0.05692533403635025,0.00541367381811142,420.0401306152344,-4.3609619140625,-299.3157958984375
11,0.548,-0.0269012451171875,-0.9926910400390625,-0.1145172119140625,0.17710979282855988,0.008975918404757977,0.08244374394416809,419.9683837890625,-4.346649169921875,-299.2645263671875
12,0.598,-0.038665771484375,-0.9893798828125,-0.114776611328125,0.11503683775663376,-0.06967708468437195,0.008022506721317768,419.78271484375,-4.4333038330078125,-299.2271728515625
13,0.648,-0.0265960693359375,-0.99920654296875,-0.1151580810546875,0.055623847991228104,0.12133201956748962,0.0051873051561415195,419.739990234375,-4.4021759033203125,-299.0301513671875
14,0.698,-0.0318756103515625,-0.989990234375,-0.137359619140625,0.12029418349266052,0.11005832999944687,-0.002383262850344181,419.71673583984375,-4.5493927001953125,-299.07830810546875
15,0.748,-0.0355072021484375,-1.00103759765625,-0.09130859375,0.09389986097812653,0.11802463978528976,-0.09891965240240097,419.97296142578125,-4.42694091796875,-298.8125
16,0.798,-0.022613525390625,-0.9717864990234375,-0.065277099609375,-0.08325280994176865,0.43150240182876587,-0.060683585703372955,420.00323486328125,-4.3538818359375,-298.3791809082031
17,0.847,-0.00262451171875,-1.0173797607421875,-0.03717041015625,-0.184682235121727,0.4066670835018158,-0.13337589800357819,420.1166076660156,-4.2550201416015625,-297.7271728515625
18,0.897,-0.1374664306640625,-1.026885986328125,-0.1136016845703125,-0.20560455322265625,0.4056724011898041,-0.6823911070823669,420.38134765625,-4.054412841796875,-297.45025634765625
19,0.947,0.0785980224609375,-0.9397735595703125,0.010528564453125,0.6280551552772522,-0.6379088163375854,-1.363362431526184,421.11944580078125,-3.4318389892578125,-297.11383056640625
20,0.997,0.2557830810546875,-0.9106597900390625,-0.0793304443359375,0.5652551651000977,-1.8486441373825073,-0.618506669998169,423.23760986328125,-1.5137481689453125,-297.00567626953125
21,1.047,0.2314300537109375,-1.0058135986328125,-0.1297149658203125,0.8674493432044983,-1.8226373195648193,0.48877739906311035,425.2650146484375,-0.284942626953125,-297.926513671875
22,1.097,0.0150604248046875,-1.0495147705078125,-0.0353240966796875,-0.6975476741790771,-0.655863344669342,0.7833885550498962,426.1468811035156,-0.5467376708984375,-300.00927734375
23,1.147,-0.0004119873046875,-1.02783203125,-0.207366943359375,-0.8799483776092529,0.9321212768554688,0.15282176434993744,425.74542236328125,-1.8613739013671875,-301.8017883300781
24,1.196,0.0231170654296875,-1.0509796142578125,-0.133880615234375,-1.0176103115081787,0.7485860586166382,0.030825557187199593,425.13140869140625,-2.47576904296875,-302.408203125
25,1.246,0.10650634765625,-0.970001220703125,-0.2121734619140625,-0.17860808968544006,0.14892689883708954,-0.0854821428656578,425.24603271484375,-2.282196044921875,-302.28582763671875
26,1.296,0.104888916015625,-1.0242767333984375,-0.1075897216796875,0.3647436201572418,-0.15630358457565308,0.1262199878692627,425.1286315917969,-2.0912017822265625,-302.06890869140625
27,1.346,0.08404541015625,-0.9894256591796875,-0.2231903076171875,-0.005455485545098782,0.1224159300327301,0.029751770198345184,425.11175537109375,-2.3401947021484375,-301.7025146484375
28,1.396,0.0649261474609375,-0.9814910888671875,-0.1675262451171875,0.12527669966220856,-0.015177621506154537,-0.059238821268081665,425.01666259765625,-2.4148712158203125,-301.28558349609375
29,1.446,0.061614990234375,-0.936798095703125,-0.27801513671875,0.1676609069108963,-0.02322010137140751,0.12708045542240143,425.17669677734375,-2.2144317626953125,-301.2012939453125
30,1.495,0.1630096435546875,-0.9955902099609375,-0.1052703857421875,0.062182679772377014,0.4880934953689575,0.35328856110572815,424.9637451171875,-2.3144683837890625,-300.8392333984375
31,1.545,0.219573974609375,-1.0511016845703125,-0.1390838623046875,0.2114238291978836,0.47986406087875366,0.19297797977924347,424.64910888671875,-2.7864990234375,-299.79376220703125
32,1.595,0.344024658203125,-1.0227203369140625,-0.0261688232421875,0.10153540968894958,0.4713480770587921,0.2569955885410309,423.9531555175781,-2.8973236083984375,-299.1514587402344
33,1.645,0.341705322265625,-0.9849853515625,-0.0419921875,-0.03134860098361969,0.7515416741371155,0.43334344029426575,423.4714050292969,-3.4336090087890625,-298.24114990234375
