index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z
0,0,0.137908935546875,-0.7467498779296875,-0.628692626953125,-0.644046208993926,0,0.13988774756982095
1,0.05,0.1654205322265625,-0.712371826171875,-0.68194580078125,-0.6915120685167889,0.0009135972368880784,0.1654205322265625
2,0.1,0.1522064208984375,-0.7334442138671875,-0.64398193359375,-0.6597908384276685,0.0002176467777741717,0.1522064208984375
3,0.149,0.157318115234375,-0.7392578125,-0.65740966796875,-0.6645284874188744,-0.0005724464696178646,0.157318115234375
4,0.199,0.1510009765625,-0.7412872314453125,-0.66424560546875,-0.667346297986177,0.0004123770980633154,0.1510009765625
5,0.249,0.158721923828125,-0.7361602783203125,-0.6552581787109375,-0.6648701281348337,0.0006525941894046461,0.158721923828125
6,0.299,0.159637451171875,-0.73614501953125,-0.652740478515625,-0.6634488386437601,0.0009663410843462174,0.159637451171875
7,0.349,0.1503143310546875,-0.741302490234375,-0.65692138671875,-0.6632271197352108,0.0013996637047225865,0.1503143310546875
8,0.399,0.1591339111328125,-0.741943359375,-0.653350830078125,-0.6608790704242744,0.00161135813805255,0.1591339111328125
9,0.448,0.1537322998046875,-0.73602294921875,-0.649261474609375,-0.6615239335324123,0.0025588155507639955,0.1537322998046875
10,0.498,0.1530609130859375,-0.74212646484375,-0.649993896484375,-0.6588680766284246,0.002690867940614736,0.1530609130859375
11,0.548,0.1558990478515625,-0.7353973388671875,-0.658966064453125,-0.6673452969519267,0.003118995910101736,0.1558990478515625
12,0.598,0.15863037109375,-0.74114990234375,-0.6607208251953125,-0.6654438760762509,0.0034901186865577537,0.15863037109375
13,0.648,0.156951904296875,-0.736602783203125,-0.646453857421875,-0.659617175054125,0.0032054816309581464,0.156951904296875
14,0.698,0.1573638916015625,-0.7319488525390625,-0.6524810791015625,-0.6654227443197688,0.0031816198290940487,0.1573638916015625
15,0.747,0.1499176025390625,-0.7386627197265625,-0.663299560546875,-0.6681312777516757,0.003603448782770942,0.1499176025390625
16,0.797,0.1645050048828125,-0.7339324951171875,-0.6576690673828125,-0.6673540783450914,0.00324024900703755,0.1645050048828125
17,0.847,0.1542816162109375,-0.73675537109375,-0.65460205078125,-0.6641985337276964,0.0026341028478289092,0.1542816162109375
18,0.897,0.1548004150390625,-0.7401580810546875,-0.65386962890625,-0.6620706854862723,0.003364311673307,0.1548004150390625
19,0.947,0.1525421142578125,-0.738677978515625,-0.6609649658203125,-0.6668187078727641,0.0031802749129683154,0.1525421142578125
20,0.997,0.1623077392578125,-0.7338714599609375,-0.6570892333984375,-0.667058343355379,0.0030576236210926484,0.1623077392578125
21,1.046,0.157928466796875,-0.733306884765625,-0.655426025390625,-0.6664047604676926,0.0032437776533131143,0.157928466796875
22,1.096,0.1537322998046875,-0.7343292236328125,-0.6576995849609375,-0.6671712123290497,0.003509293294589198,0.1537322998046875
23,1.146,0.158355712890625,-0.7364044189453125,-0.6581878662109375,-0.6664009783136771,0.003815674595886425,0.158355712890625
24,1.196,0.150146484375,-0.7406005859375,-0.66021728515625,-0.6654361064189147,0.004115850445440206,0.150146484375
25,1.246,0.1639251708984375,-0.734283447265625,-0.6634674072265625,-0.6704218344167291,0.004121056881193988,0.16392517089843747
26,1.296,0.162567138671875,-0.733917236328125,-0.66241455078125,-0.6700197067085175,0.0037055536655511275,0.162567138671875
27,1.346,0.168975830078125,-0.727996826171875,-0.6999053955078125,-0.6930616090980405,0.001377932344768673,0.168975830078125
28,1.395,0.172119140625,-0.7417144775390625,-0.70263671875,-0.6877239349458263,-0.0057909715810825985,0.172119140625
29,1.445,0.1400909423828125,-0.7917327880859375,-0.6129913330078125,-0.6121962445654164,-0.013930744765237429,0.1400909423828125
30,1.495,0.115020751953125,-0.8454742431640625,-0.442138671875,-0.4634074997688506,-0.013616441690237421,0.115020751953125
31,1.545,0.0865478515625,-0.8572540283203125,-0.4486541748046875,-0.4636958241886171,-0.01695363019975197,0.0865478515625
32,1.595,0.064544677734375,-0.9110260009765625,-0.377960205078125,-0.38320336958895584,-0.013276706190627374,0.064544677734375
33,1.645,0.09967041015625,-0.873992919921875,-0.474365234375,-0.477023460343477,-0.014513678287707733,0.09967041015625
34,1.694,0.08709716796875,-0.910064697265625,-0.4544219970703125,-0.4467335112053719,-0.013130325008371163,0.08709716796875
35,1.744,0.1094207763671875,-0.89361572265625,-0.4335174560546875,-0.4364766632226345,-0.011421503514171556,0.1094207763671875
36,1.794,0.0951690673828125,-0.9060516357421875,-0.36175537109375,-0.37080273838845706,-0.010419162773192462,0.0951690673828125
37,1.844,0.0821685791015625,-0.915771484375,-0.378692626953125,-0.3821387166923338,-0.011311282368354686,0.0821685791015625
38,1.894,0.08477783203125,-0.916351318359375,-0.37091064453125,-0.3751984416027783,-0.009378050977109281,0.08477783203125
39,1.944,0.075286865234375,-0.931427001953125,-0.3188934326171875,-0.32391259208814766,-0.006578812572243378,0.075286865234375
