index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z
0,0,0.239532470703125,-0.56365966796875,-0.7993316650390625,-0.8172444750871449,0,0.23787090155120322
1,0.05,0.1869659423828125,-0.5621795654296875,-0.78533935546875,-0.8131341782408716,-0.006459159193198879,0.1869659423828125
2,0.099,0.1739501953125,-0.5576324462890625,-0.8076629638671875,-0.8229157653765862,-0.008382427499105938,0.1739501953125
3,0.149,0.199462890625,-0.589599609375,-0.7919769287109375,-0.8021257972393985,-0.014698974045754007,0.199462890625
4,0.199,0.1671142578125,-0.5428466796875,-0.797332763671875,-0.8266080157277577,-0.03176946747671729,0.16711425781249997
5,0.249,0.1842803955078125,-0.52337646484375,-0.82635498046875,-0.844810613823143,-0.03173497031272603,0.1842803955078125
6,0.299,0.2360382080078125,-0.5258636474609375,-0.802642822265625,-0.8364638945157904,-0.0453083822985151,0.2360382080078125
7,0.349,0.211517333984375,-0.5257568359375,-0.82110595703125,-0.8421554187306839,-0.055021696878690886,0.211517333984375
8,0.398,0.192596435546875,-0.5283660888671875,-0.856842041015625,-0.8511796733578082,-0.06088268015452917,0.192596435546875
9,0.448,0.1762847900390625,-0.541046142578125,-0.85626220703125,-0.8453779121760536,-0.0642919381895777,0.1762847900390625
10,0.498,0.1720428466796875,-0.5313873291015625,-0.8428192138671875,-0.845905325724649,-0.06222748467965959,0.1720428466796875
11,0.548,0.169677734375,-0.5315399169921875,-0.78961181640625,-0.8295534733761017,-0.06101618858753372,0.169677734375
12,0.598,0.1809844970703125,-0.5434722900390625,-0.8399810791015625,-0.8395906161490059,-0.05898461471271415,0.1809844970703125
13,0.648,0.1811370849609375,-0.5397186279296875,-0.841766357421875,-0.8418224255794954,-0.05621024703162163,0.1811370849609375
14,0.697,0.18316650390625,-0.549713134765625,-0.83392333984375,-0.8349205519489724,-0.05349427013083225,0.18316650390625
15,0.747,0.1783294677734375,-0.5527496337890625,-0.8273773193359375,-0.831509635884162,-0.05965339302573259,0.1783294677734375
16,0.797,0.1782684326171875,-0.58349609375,-0.860687255859375,-0.8277177399175804,-0.06747974934763387,0.1782684326171875
17,0.847,0.1749267578125,-0.5988311767578125,-0.819427490234375,-0.8073823073448999,-0.08884538154083063,0.1749267578125
18,0.897,0.1499786376953125,-0.61883544921875,-0.8450469970703125,-0.80679895690077,-0.1144720160151706,0.1499786376953125
19,0.947,0.0600128173828125,-0.724090576171875,-0.780181884765625,-0.7329639997973013,-0.13602553730732456,0.0600128173828125
20,0.996,0.025299072265625,-0.730804443359375,-0.66070556640625,-0.6706350701654342,-0.1408832483282083,0.025299072265625
21,1.046,0.0435791015625,-0.7466583251953125,-0.696990966796875,-0.68237573257245,-0.1407444959040598,0.04357910156249999
22,1.096,0.1269378662109375,-0.762542724609375,-0.7121734619140625,-0.6825573775654489,-0.1532766559553296,0.1269378662109375
23,1.146,0.1281890869140625,-0.785675048828125,-0.649871826171875,-0.6373686141653061,-0.16578421135621155,0.1281890869140625
24,1.196,0.252532958984375,-0.7455596923828125,-0.66131591796875,-0.6635765933775849,-0.18163200083037223,0.252532958984375
25,1.246,0.20050048828125,-0.734649658203125,-0.6344146728515625,-0.6535871276518339,-0.2045596038081988,0.20050048828125
26,1.295,0.2249298095703125,-0.7092132568359375,-0.7082061767578125,-0.70660420168551,-0.223345473599455,0.2249298095703125
27,1.345,0.2108612060546875,-0.7364044189453125,-0.717803955078125,-0.6980052357979308,-0.23028316408010605,0.2108612060546875
28,1.395,0.198944091796875,-0.7367706298828125,-0.64019775390625,-0.6559030974993314,-0.21361535852763597,0.198944091796875
29,1.445,0.1559906005859375,-0.7439117431640625,-0.553192138671875,-0.5967215182670839,-0.20843280665806851,0.1559906005859375
30,1.495,0.0858917236328125,-0.7404632568359375,-0.5797576904296875,-0.6164828071150837,-0.20010267392758774,0.0858917236328125
31,1.545,0.0636749267578125,-0.79925537109375,-0.45068359375,-0.49117367769305537,-0.20074010925171748,0.0636749267578125
32,1.594,0.2845611572265625,-0.7845611572265625,-0.6951446533203125,-0.663167618598546,-0.23073095348439934,0.2845611572265625
33,1.644,0.228302001953125,-0.6359405517578125,-0.668853759765625,-0.7247128981421325,-0.2175287605095421,0.228302001953125
34,1.694,0.2501983642578125,-0.6826171875,-0.553741455078125,-0.6299859435692744,-0.23276952803965875,0.2501983642578125
35,1.744,0.1439056396484375,-0.7832489013671875,-0.5488433837890625,-0.5738616701043431,-0.2344651371029394,0.1439056396484375
36,1.794,0.2131500244140625,-0.720367431640625,-0.431915283203125,-0.5142285720847617,-0.253038886763236,0.2131500244140625
37,1.844,0.2136077880859375,-0.7550811767578125,-0.64715576171875,-0.650758519200823,-0.2707864672428428,0.2136077880859375
38,1.893,0.17535400390625,-0.740936279296875,-0.584930419921875,-0.6196317103507932,-0.28344058813821904,0.17535400390625
39,1.943,0.1928863525390625,-0.779693603515625,-0.53997802734375,-0.5693455019691658,-0.3175027119679923,0.1928863525390625
40,1.993,0.1368408203125,-0.767181396484375,-0.53704833984375,-0.5734776539024713,-0.36434943227729594,0.1368408203125
41,2.043,0.0912628173828125,-0.7652130126953125,-0.489990234375,-0.5392519171498668,-0.398801890998823,0.0912628173828125
42,2.093,0.0388031005859375,-0.9232330322265625,-0.4889373779296875,-0.4680125358329123,-0.41713116157729113,0.0388031005859375
