index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z
0,0,0.0861968994140625,-0.3729400634765625,-0.802703857421875,-0.9068984086705594,0,0.09692710062044572
1,0.05,0.1416168212890625,-0.32720947265625,-0.9356689453125,-0.9439447210773722,0.0030441881636812987,0.1416168212890625
2,0.099,0.1280364990234375,-0.3399505615234375,-0.9254913330078125,-0.9386782441682621,-0.005806590396590407,0.1280364990234375
3,0.149,0.0934600830078125,-0.3321990966796875,-0.954742431640625,-0.9444615623393704,-0.014351002335991563,0.0934600830078125
4,0.199,0.1214752197265625,-0.3210601806640625,-0.940155029296875,-0.9463401180695998,-0.02407817467440356,0.1214752197265625
5,0.249,0.0756683349609375,-0.326385498046875,-0.9638214111328125,-0.9471655177577574,-0.026948659215480644,0.0756683349609375
6,0.299,0.07757568359375,-0.315338134765625,-0.933502197265625,-0.9474057926905853,-0.029935609056340656,0.07757568359375
7,0.349,0.0675048828125,-0.2864990234375,-0.965301513671875,-0.9586671484008126,-0.03464635613798081,0.0675048828125
8,0.398,0.0467376708984375,-0.2947540283203125,-0.9784088134765625,-0.9574939788096222,-0.029463173211641408,0.0467376708984375
9,0.448,0.0901031494140625,-0.283111572265625,-0.9555206298828125,-0.9587996573249464,-0.02703786937865772,0.0901031494140625
10,0.498,0.093475341796875,-0.2906036376953125,-0.9422607421875,-0.9555857470432285,-0.023178983165790604,0.093475341796875
11,0.548,0.1026458740234375,-0.29180908203125,-0.956512451171875,-0.9564796398905921,-0.02203113459650897,0.1026458740234375
12,0.598,0.0947113037109375,-0.2943572998046875,-0.9466552734375,-0.9549018801561211,-0.02133072813124524,0.0947113037109375
13,0.648,0.0861053466796875,-0.2963409423828125,-0.9502105712890625,-0.9546513972328069,-0.019920791298338205,0.0861053466796875
14,0.698,0.0967254638671875,-0.2925262451171875,-0.9420928955078125,-0.9550203390509441,-0.019540845505934806,0.0967254638671875
15,0.747,0.0910797119140625,-0.2943878173828125,-0.938385009765625,-0.9541486597875791,-0.019962687801257938,0.0910797119140625
16,0.797,0.1000518798828125,-0.30316162109375,-0.9070281982421875,-0.9484261060152817,-0.027254969969488303,0.1000518798828125
17,0.847,0.11505126953125,-0.2564239501953125,-0.89715576171875,-0.9614974079217401,-0.07526806929388226,0.11505126953125
18,0.897,0.0069580078125,-0.3145294189453125,-1.0274505615234375,-0.9561989821159198,-0.0842479739628815,0.0069580078125
19,0.947,-0.0240478515625,-0.313751220703125,-0.9666290283203125,-0.9511506282798649,-0.0792922293975733,-0.0240478515625
20,0.997,0.041168212890625,-0.2447967529296875,-0.945648193359375,-0.9680891725935128,-0.07265560007106522,0.041168212890625
21,1.046,0.0166473388671875,-0.2705230712890625,-0.98150634765625,-0.9640523449199205,-0.05343989773801662,0.0166473388671875
22,1.096,0.0545654296875,-0.3059844970703125,-0.902740478515625,-0.9470752009589257,-0.05895990180864302,0.05456542968749999
23,1.146,0.0881195068359375,-0.2435760498046875,-0.970184326171875,-0.969899741732274,-0.05824659045451575,0.0881195068359375
24,1.196,0.0843505859375,-0.2574615478515625,-0.97430419921875,-0.9668137628304369,-0.05891521193134839,0.0843505859375
25,1.246,-0.0406951904296875,-0.185882568359375,-0.925567626953125,-0.9804237047239662,-0.0770669722382113,-0.0406951904296875
26,1.296,-0.0083465576171875,-0.20709228515625,-1.002655029296875,-0.9793288836114141,-0.10093277231006999,-0.0083465576171875
27,1.345,0.017333984375,-0.29827880859375,-0.9249114990234375,-0.9517325885254213,-0.15096495471526758,0.017333984375
28,1.395,0.1220245361328125,-0.254608154296875,-0.9839935302734375,-0.9681165990918461,-0.16399854821347415,0.1220245361328125
29,1.445,-0.0118255615234375,-0.239593505859375,-1.0801544189453125,-0.9762713565739416,-0.17557905183858988,-0.0118255615234375
30,1.495,-0.0843505859375,-0.176239013671875,-1.03826904296875,-0.9858976624429853,-0.19395065368865544,-0.0843505859375
31,1.545,-0.09051513671875,-0.2099456787109375,-0.983489990234375,-0.9779655418050193,-0.20601331891449062,-0.09051513671875
32,1.595,0.03265380859375,-0.2522125244140625,-1.0193328857421875,-0.970726887427808,-0.23206235312795706,0.03265380859375
33,1.644,-0.2369842529296875,-0.3638153076171875,-0.927093505859375,-0.9308881176012448,-0.27013296211576493,-0.2369842529296875
34,1.694,-0.2199249267578125,-0.305572509765625,-0.903961181640625,-0.9473379743725902,-0.32251952620850177,-0.2199249267578125
35,1.744,-0.4466094970703125,-0.2579498291015625,-0.8437957763671875,-0.9563124965563793,-0.3851948076159672,-0.4466094970703125
36,1.794,-0.34002685546875,-0.50946044921875,-0.803924560546875,-0.8446726563162588,-0.4361874466960115,-0.34002685546875
37,1.844,-0.2841644287109375,-0.3479461669921875,-1.1844482421875,-0.8522113605332627,-0.44906750977084664,-0.38921832479455315
38,1.894,-0.3986053466796875,-0.44598388671875,-0.8626861572265625,-0.8883155657216582,-0.47223782412621307,-0.3986053466796875
39,1.943,0.0979461669921875,-0.4012908935546875,-0.8650360107421875,-0.9071422906660291,-0.5166779546302224,0.0979461669921875
40,1.993,-0.089019775390625,-0.4142608642578125,-0.769622802734375,-0.8805434039767931,-0.5630889000929864,-0.089019775390625
41,2.043,-0.1131591796875,-0.44732666015625,-0.3965606689453125,-0.6633698884697554,-0.5846896945332467,-0.1131591796875
42,2.093,-0.7778472900390625,-0.741546630859375,-0.915802001953125,-0.64152242235008,-0.6650251337354032,-0.1287716923117519
43,2.143,-0.5839385986328125,-0.673187255859375,-1.27252197265625,-0.5652545208959748,-0.6363809061736937,-0.1792389774437858
44,2.193,-0.2559814453125,-0.64312744140625,-0.5042724609375,-0.6170329445326895,-0.5698741184001914,-0.2559814453125
45,2.242,-0.0240936279296875,-0.63446044921875,-0.078460693359375,-0.12273032171013094,-0.5552310931471267,-0.0240936279296875
46,2.292,0.0821075439453125,-0.6527099609375,0.0621337890625,0.09476516263534186,-0.5767786459338954,0.0821075439453125
47,2.342,-0.291839599609375,-0.9980926513671875,-0.2066802978515625,-0.20277341580330552,-0.6365705683853076,-0.291839599609375
48,2.392,-0.61865234375,-1.263397216796875,-0.7797393798828125,-0.13373579724487547,-0.6693675967865027,-0.32161686057372046
49,2.442,-0.3580474853515625,-1.205230712890625,-0.4447021484375,-0.03719118066839125,-0.6636646035704552,-0.3727435153761037
50,2.492,-0.0086517333984375,-0.896881103515625,-0.08135986328125,-0.09034325399000055,-0.6519492110273437,-0.0086517333984375
51,2.541,0.1927642822265625,-0.6497344970703125,0.241058349609375,0.3478420980100803,-0.6410092474590999,0.1927642822265625
52,2.591,0.3796539306640625,-0.4512481689453125,0.5936126708984375,0.796095942035786,-0.6508263911161035,0.3796539306640625
53,2.641,0.03875732421875,-0.7366790771484375,0.17706298828125,0.23369742427885673,-0.6948902743002958,0.03875732421875
54,2.691,-0.5305938720703125,-1.23553466796875,-0.2238616943359375,0.2527950164145468,-0.7256567096321662,0.0447404383842664
55,2.741,-0.330780029296875,-1.22259521484375,-0.0472869873046875,0.2832271772052571,-0.7256667786274209,0.034878933867018735
56,2.791,0.040191650390625,-0.8980865478515625,0.1133270263671875,0.1251943878403187,-0.7234931702813189,0.040191650390625
57,2.84,-0.05328369140625,-1.095703125,0.283447265625,0.2504455706400825,-0.7408871884235024,-0.05328369140625
58,2.89,-0.6658172607421875,-1.9093170166015625,0.0458526611328125,0.29367066751044263,-0.7311407216700406,-0.0853727704778724
59,2.951,-0.3968658447265625,-1.9288177490234375,0.192047119140625,0.36669575240971025,-0.6961262132599714,-0.21170056104839124
60,3.001,0.6389923095703125,-0.7650299072265625,0.1241912841796875,0.16023758327291238,-0.653583024059333,0.6389923095703125
61,3.051,1.784423828125,0.365020751953125,0.6638031005859375,0.4308166241628841,-0.622738890236972,0.5427755408049691
62,3.33,-2.01202392578125,0.9270172119140625,-0.58599853515625,0.04608873538604155,-0.7072404760329193,0.2880530642158065
63,3.38,0.503753662109375,0.32672119140625,1.13055419921875,0.1937584279846088,-0.7732240665250858,0.0835190456605982
64,3.43,1.5115203857421875,0.0857696533203125,0.59747314453125,0.11163800375011233,-0.8260023789857477,-0.020320469975483795
65,3.48,1.4471588134765625,-0.2953033447265625,0.7258758544921875,0.0744863158693336,-0.8602224451500735,-0.06445529545468348
66,3.529,1.1064300537109375,-0.0890350341796875,0.72216796875,0.035851577090142264,-0.8929137220250293,-0.09811780490202753
67,3.579,0.6429290771484375,-0.3782958984375,0.7806396484375,0.899902810038992,-0.9027087010882151,0.6429290771484375
68,3.629,0.4624481201171875,-0.1333465576171875,0.6765899658203125,0.9811265898974699,-0.9089221683012463,0.4624481201171875
69,3.679,0.34820556640625,-0.564117431640625,0.7492828369140625,0.7988956011199454,-0.8938181992139815,0.34820556640625
70,3.729,-0.0427093505859375,-1.373382568359375,0.74945068359375,0.7013819112950557,-0.8660852098604582,0.3552800110095756
71,3.779,0.46038818359375,-0.75848388671875,0.9916839599609375,0.6656005035931282,-0.8846622209927959,0.30329479209215404
72,3.828,1.0068511962890625,0.09417724609375,0.469085693359375,0.9804356662675123,-0.9061012486543725,NaN
73,3.878,0.945068359375,0.1250152587890625,0.2655029296875,0.9047232314762309,-0.933601213720172,0.945068359375
74,3.928,0.6247406005859375,-0.209136962890625,0.4482574462890625,0.906221752511473,-0.941213147143004,0.6247406005859375
75,3.978,0.1372833251953125,-1.1552276611328125,0.317230224609375,0.9208868523351436,-0.9506002652625314,0.6737311947136627
76,4.028,0.51910400390625,-1.0902862548828125,0.63800048828125,0.936274803074798,-0.9499117056742407,0.6994068405665461
77,4.078,1.084228515625,-0.3640289306640625,0.664215087890625,0.9222934749117685,-0.9440913448532227,0.6801742475389251
78,4.127,0.9523162841796875,-0.093414306640625,0.47705078125,0.9813622960562365,-0.9529816346364617,0.9523162841796875
79,4.177,0.7221832275390625,-0.3674774169921875,0.5984954833984375,0.8521838030287467,-0.9635021385006959,0.7221832275390625
80,4.227,-0.1150360107421875,-1.5634765625,-0.0067291259765625,0.8292610071674473,-0.9730758531350475,0.7757292751920344
81,4.277,0.2256011962890625,-1.4938812255859375,0.389068603515625,0.8305823261387347,-0.9822129444188692,0.8022817992879228
82,4.327,0.972076416015625,-0.259796142578125,0.354248046875,0.8063895358428241,-0.9863740293596378,0.972076416015625
83,4.377,1.177276611328125,0.2532806396484375,0.25469970703125,0.7765654108894825,-0.9865060478492016,0.9520247701287922
84,4.426,0.8162384033203125,0.044097900390625,0.4526519775390625,0.9952880684790778,-0.9885477458924955,0.8162384033203125
85,4.476,0.09002685546875,-0.9935302734375,0.2590179443359375,0.2522724646145433,-0.9884773212928086,0.09002685546875
86,4.526,-0.1181793212890625,-1.8456573486328125,0.3261871337890625,0.2729721705613108,-0.9809800942565715,0.1735164229617728
87,4.576,0.806060791015625,-0.6800994873046875,0.473114013671875,0.5710655674638863,-0.974898874104378,0.806060791015625
88,4.626,1.062408447265625,0.1337127685546875,0.408172607421875,0.9503083029830421,-0.96398304487887,NaN
89,4.676,0.8943939208984375,0.212799072265625,0.8478851318359375,0.9362200896728285,-0.965282026002543,NaN
90,4.725,0.214141845703125,-0.9545440673828125,0.44427490234375,0.42196570982064735,-0.9644037437880703,0.214141845703125
91,4.775,-0.5334625244140625,-3.0054931640625,0.122711181640625,0.3459956739991835,-0.9641125818825699,0.31556110811110655
92,4.825,1.2237396240234375,-1.387725830078125,-0.2498321533203125,0.28875644089793145,-0.9567235330756102,0.21945933303102907
93,4.875,4.06500244140625,3.0179901123046875,0.8050079345703125,0.23290494776811724,-0.90770661845441,0.023539643062152983
94,4.925,3.88360595703125,2.900543212890625,0.5807647705078125,0.4723603613634636,-0.8556403155198734,0.012243343943858016
95,4.975,-1.07049560546875,3.448211669921875,0.2395782470703125,0.6881462272942815,-0.7621452646860811,0.2513109592261063
96,5.024,-9.195938110351562,-0.58416748046875,0.8193511962890625,0.8752795916627604,-0.7135737404613193,0.6104281485919835
97,5.074,-1.8827056884765625,-1.5316314697265625,2.745452880859375,0.6786255188210012,-0.4977250321897167,0.9074418567099836
98,5.124,-4.3775787353515625,0.9355621337890625,-0.28155517578125,0.7687820423792068,-0.6454719018678963,0.7725983274913681
99,5.174,0.135528564453125,0.487396240234375,1.6684417724609375,0.7416843530393642,-0.6883536613076032,0.550771457295248
100,5.224,1.735443115234375,0.4818878173828125,0.1571807861328125,0.7248676662425673,-0.7598652510265874,0.3762519919137132
101,5.274,2.0983428955078125,0.1423492431640625,0.65814208984375,0.6817351466790047,-0.8246460673775055,0.3190305954352058
102,5.323,2.04254150390625,0.853729248046875,0.2183837890625,0.6284744030992806,-0.8775635047283801,0.2941277808918006
103,5.373,0.770294189453125,-0.27978515625,-0.414886474609375,-0.8290925095424996,-0.918725093535018,0.770294189453125
104,5.423,0.467315673828125,-1.0524139404296875,1.0371856689453125,-0.7316218025809617,-0.9258307421310732,0.8281568236412273
105,5.473,0.59759521484375,-1.184661865234375,0.85675048828125,-0.6854277351381237,-0.9363530185056828,0.8396131052918003
106,5.523,0.723480224609375,-0.6924285888671875,0.74041748046875,-0.7248972466672617,-0.9347677110226636,0.8174471037902267
107,5.573,1.05987548828125,0.1505279541015625,0.328704833984375,0.9091993256977937,-0.953709675521347,NaN
108,5.622,1.1004638671875,0.4872894287109375,0.0311431884765625,0.9412431890451207,-0.9647566047307728,NaN
109,5.672,0.0436859130859375,-0.95428466796875,0.3634185791015625,0.3558940395572123,-0.9646880798995202,0.0436859130859375
110,5.722,0.06298828125,-1.6942901611328125,1.3005218505859375,0.45173229932931724,-0.9571395403796669,0.10041733649908711
111,5.772,0.79046630859375,-0.2304534912109375,0.3320159912109375,0.821501131655507,-0.9556899310466569,0.79046630859375
112,5.822,1.3625030517578125,0.439849853515625,-0.088287353515625,0.7077145110313766,-0.9579482548345296,0.7464563287488734
113,5.872,1.0349578857421875,-0.148040771484375,0.345306396484375,0.9190946051221838,-0.9528048403602944,NaN
114,5.921,0.4894866943359375,-0.9412078857421875,0.435943603515625,0.4202817182899522,-0.9406693435975575,0.4894866943359375
115,5.971,0.49078369140625,-0.7812347412109375,0.2961578369140625,0.35447364421643746,-0.9279950979665444,0.49078369140625
116,6.021,0.5601959228515625,-0.3010711669921875,0.183807373046875,0.5210772666036921,-0.901299155069267,0.5601959228515625
117,6.071,0.413238525390625,-0.4970245361328125,0.689239501953125,0.811103274021683,-0.8604305747463459,0.413238525390625
118,6.121,0.2619171142578125,-0.571990966796875,0.88067626953125,0.8386387658023241,-0.8270672597299434,0.2619171142578125
119,6.171,0.2457122802734375,-0.65924072265625,1.05889892578125,0.8837619050592725,-0.8287136107228438,0.3324438530945144
120,6.22,0.1193389892578125,-0.4902191162109375,0.6669769287109375,0.8057692496164256,-0.8526254002305569,0.1193389892578125
121,6.27,0.1820068359375,-0.46795654296875,0.915252685546875,0.8903713105998653,-0.8249907128053686,0.1820068359375
122,6.32,0.003875732421875,-0.593963623046875,0.928863525390625,0.8424809597101083,-0.8113432816760028,0.003875732421875
123,6.37,0.0792083740234375,-0.56634521484375,0.7543487548828125,0.7997029069213151,-0.7970559422978553,0.0792083740234375
124,6.42,0.0754547119140625,-0.46221923828125,0.7519989013671875,0.8519359699014395,-0.7549818364828877,0.0754547119140625
125,6.47,0.063201904296875,-0.4923248291015625,1.0446624755859375,0.9045787094734629,-0.7219541368275632,0.063201904296875
126,6.519,0.2569427490234375,-0.2851715087890625,0.7655792236328125,0.9370998451477244,-0.6441581364183059,0.2569427490234375
127,6.569,-0.3552703857421875,-0.500396728515625,0.274078369140625,0.48038418263860133,-0.6058847791999902,-0.3552703857421875
128,6.619,-0.074920654296875,-0.70037841796875,1.59210205078125,0.5622731777704573,-0.6017056512817307,-0.3024653630681029
129,6.669,-0.7366790771484375,-0.9266815185546875,1.356658935546875,0.4540806700725526,-0.5446973474416118,-0.2142330656462548
