index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z
0,0,-0.205291748046875,-0.7080841064453125,-0.6386871337890625,-0.669782091894647,0,-0.2104644372154896
1,0.05,-0.2064666748046875,-0.7152862548828125,-0.595550537109375,-0.639853774945675,-0.0015315433564684947,-0.2064666748046875
2,0.1,-0.2265777587890625,-0.7116851806640625,-0.6684417724609375,-0.6846150819338704,-0.004670981096103742,-0.2265777587890625
3,0.15,-0.2398223876953125,-0.717437744140625,-0.6806182861328125,-0.6882456480113384,-0.00424689021173801,-0.23982238769531253
4,0.2,-0.252685546875,-0.7257537841796875,-0.6685791015625,-0.6775424605063357,0.0023924084375559493,-0.252685546875
5,0.25,-0.23968505859375,-0.720001220703125,-0.6641387939453125,-0.6780167323826055,0.015506553015498387,-0.23968505859375
6,0.299,-0.2547760009765625,-0.693267822265625,-0.69140625,-0.7061555002653738,0.015392503443950989,-0.2547760009765625
7,0.349,-0.2802581787109375,-0.7236480712890625,-0.6406097412109375,-0.6628405774445147,0.006158641012559679,-0.2802581787109375
8,0.399,-0.281829833984375,-0.71173095703125,-0.731964111328125,-0.7169463627408944,-0.01848924725748272,-0.281829833984375
9,0.449,-0.25665283203125,-0.712890625,-0.6834564208984375,-0.6920476351048847,-0.04312590254264339,-0.25665283203125
10,0.499,-0.20306396484375,-0.7414703369140625,-0.6546630859375,-0.6618629361024847,-0.05965377892636154,-0.20306396484375
11,0.549,-0.2449798583984375,-0.7580718994140625,-0.69189453125,-0.6741322228750082,-0.07042297699736515,-0.2449798583984375
12,0.598,-0.1931304931640625,-0.7583160400390625,-0.6099395751953125,-0.626752229068099,-0.08138987089527287,-0.1931304931640625
13,0.648,-0.24713134765625,-0.805694580078125,-0.63360595703125,-0.6181594299027391,-0.11366037120410777,-0.24713134765625
14,0.698,-0.3090972900390625,-0.896484375,-0.6063232421875,-0.5602319847346319,-0.16278164459805,-0.3090972900390625
15,0.748,-0.296051025390625,-0.9052581787109375,-0.484893798828125,-0.47217152038518123,-0.19005828801684377,-0.296051025390625
16,0.798,-0.2547454833984375,-0.9138946533203125,-0.509490966796875,-0.4869363229205698,-0.23369304711649455,-0.2547454833984375
17,0.848,-0.18670654296875,-0.886138916015625,-0.3358001708984375,-0.35435763407600557,-0.2434413810129179,-0.18670654296875
18,0.897,-0.0750732421875,-0.9148101806640625,-0.0469207763671875,-0.05122284604135056,-0.2602134590817599,-0.0750732421875
19,0.947,-0.0469970703125,-0.961883544921875,-0.020751953125,-0.02156926940093585,-0.26537716568109093,-0.04699707031249999
20,0.997,-0.152252197265625,-1.2052764892578125,0.25286865234375,0.05180005566052694,-0.2944137013391074,-0.07780513291975237
21,1.047,-0.028533935546875,-1.1762237548828125,0.243865966796875,0.09581090314966505,-0.32852569856298164,-0.09424539484606698
22,1.097,-0.1702117919921875,-1.2928619384765625,0.2662811279296875,0.11273650260646524,-0.34469690459330754,-0.11810171308370095
23,1.147,0.09893798828125,-1.0313720703125,0.227447509765625,0.21535454707174745,-0.36621542392201983,0.09893798828125
24,1.196,0.619964599609375,-0.6052093505859375,0.197174072265625,0.3097695203209514,-0.3615646166456734,0.619964599609375
25,1.246,1.0428009033203125,-0.5161590576171875,0.30902099609375,0.3500343400887054,-0.4146095341714624,0.5939017819229093
26,1.296,1.46337890625,-1.150299072265625,-0.00830078125,0.38966232280287466,-0.46628077557917075,0.5672001695481331
27,1.346,1.304962158203125,-1.4243011474609375,0.1400604248046875,0.6183699206825181,-0.4287701611856286,0.5889232183085149
28,1.427,2.5132293701171875,1.343109130859375,-0.4810638427734375,0.6862825756812952,-0.5345801622460984,0.6335666526774449
29,1.616,-2.0275726318359375,1.2768707275390625,0.34185791015625,0.5825524612256758,-0.5835022067648744,0.4481794808396934
30,1.666,-0.2141876220703125,0.6995849609375,-0.1127166748046875,-0.159067921591683,-0.6415654650184941,-0.2141876220703125
31,1.716,0.4744720458984375,-0.292755126953125,0.5916900634765625,0.8962915869842069,-0.7132268798453771,0.4744720458984375
32,1.766,0.9184417724609375,-0.6684417724609375,0.5035552978515625,0.871303719719609,-0.6885669636529034,0.4281519262383437
33,1.816,1.0926513671875,-1.1219635009765625,0.7664947509765625,0.8570439284645178,-0.6564307104559016,0.4356234348458057
34,1.866,1.1768646240234375,-1.0594940185546875,0.9301300048828125,0.8186169197243633,-0.5218871321737181,0.4916516723245055
35,1.915,0.6891632080078125,-1.3800506591796875,1.79022216796875,0.8547357617839416,-0.4586057026172246,0.540303598246522
36,1.965,0.53875732421875,-1.13201904296875,1.0526580810546875,0.8754298915337649,-0.5601946980270708,0.5304251191490643
