time,x,y,z,roll,pitch,yaw
0,0,0.00909423828125,-0.05596923828125,-0.99298095703125,-0.1160413846373558,-0.0030945930629968643,-0.006721286103129387
1,0.05,0.0106964111328125,-0.050811767578125,-1.0209197998046875,-0.020297547802329063,0.01321087684482336,-0.022602247074246407
2,0.1,0.0130615234375,-0.0516815185546875,-0.9803619384765625,0.046724095940589905,-0.025346368551254272,-0.02678820490837097
3,0.15,0.0339202880859375,-0.0623321533203125,-0.994964599609375,-0.005585980135947466,-0.0005243764026090503,0.010470750741660595
4,0.2,0.0006866455078125,-0.0556182861328125,-0.98577880859375,0.00646615494042635,0.021624868735671043,0.03057681769132614
5,0.249,0.0190887451171875,-0.0531768798828125,-0.99273681640625,0.01954733580350876,-0.019588882103562355,0.028688369318842888
6,0.299,0.0208740234375,-0.0578155517578125,-0.988311767578125,-0.08812665939331055,0.0014857775531709194,0.00654551712796092
7,0.349,0.015167236328125,-0.0493621826171875,-1.0107421875,-0.02984311617910862,0.002892459277063608,0.0110470587387681
8,0.399,0.01824951171875,-0.0510711669921875,-0.998199462890625,-0.04561382532119751,0.00042344260145910084,-0.004089283756911755
9,0.449,0.011993408203125,-0.0468902587890625,-0.9919891357421875,-0.04831959679722786,0.009756224229931831,-0.009585249237716198
10,0.499,0.0174713134765625,-0.0465240478515625,-0.9963226318359375,-0.031002124771475792,0.011766644194722176,-0.0030897995457053185
11,0.548,0.0188446044921875,-0.0437164306640625,-1.0025482177734375,-0.031002124771475792,0.011766644194722176,-0.0030897995457053185
12,0.598,0.02374267578125,-0.0506744384765625,-1.0129241943359375,-0.029806630685925484,-0.029208218678832054,-0.008198807947337627
13,0.648,0.016326904296875,-0.04437255859375,-0.9591064453125,-0.09848982095718384,0.014970427379012108,-0.030126210302114487
14,0.698,0.0185699462890625,-0.0313262939453125,-1.0065765380859375,-0.08543980121612549,0.01864452473819256,-0.007740477565675974
15,0.748,0.0265350341796875,-0.0350341796875,-1.0095672607421875,-0.07800771296024323,0.020855747163295746,0.020956413820385933
16,0.798,0.0167236328125,-0.0275421142578125,-0.980926513671875,-0.08925610780715942,0.010510431602597237,-0.002374740783125162
