index,time,acc x,acc y,acc z,gyro x,gyro y,gyro z,mag x,mag y,mag z
0,0,-0.0411529541015625,-0.96673583984375,-0.210601806640625,0.14632952213287354,-0.028329908847808838,0.012830577790737152,0,0,0
1,0.05,0.048858642578125,-1.01715087890625,-0.09552001953125,-0.13730646669864655,-0.15667137503623962,0.03873647749423981,389.1726989746094,-5.9702606201171875,-238.02191162109375
2,0.099,-0.0791015625,-1.006561279296875,-0.223785400390625,0.06791166961193085,0.0026871294248849154,-0.06692656874656677,389.4840087890625,-6.1952362060546875,-238.00027465820312
3,0.149,0.005828857421875,-0.9927215576171875,-0.12158203125,0.18605855107307434,0.10249335318803787,-0.17560137808322906,389.55657958984375,-6.122467041015625,-238.3881378173828
4,0.199,0.0383758544921875,-0.98260498046875,-0.083953857421875,-0.014991732314229012,-0.04549797624349594,-0.002180862706154585,389.7945251464844,-5.6392974853515625,-237.62411499023438
5,0.249,0.002716064453125,-0.9781951904296875,-0.150238037109375,-0.05603078007698059,-0.04174984246492386,0.006214486435055733,390.0981750488281,-5.507720947265625,-237.73545837402344
6,0.299,0.024505615234375,-0.98345947265625,-0.14007568359375,-0.0038517299108207226,0.016287360340356827,-0.004257595632225275,390.03045654296875,-5.55322265625,-238.00486755371094
7,0.349,0.01495361328125,-0.9911346435546875,-0.1277618408203125,-0.038416098803281784,-0.01769404299557209,0.06269586831331253,390.03851318359375,-5.7873382568359375,-238.33291625976562
8,0.398,-0.0122222900390625,-0.9976043701171875,-0.162384033203125,-0.050757188349962234,0.006457899231463671,0.05169062316417694,390.1129455566406,-5.9564361572265625,-237.98641967773438
9,0.448,-0.0063018798828125,-0.98297119140625,-0.1467742919921875,0.06615851074457169,0.042271025478839874,-0.03874552994966507,389.85833740234375,-6.1968231201171875,-238.19088745117188
10,0.498,0.0194549560546875,-0.985198974609375,-0.13372802734375,0.023355655372142792,0.0323835052549839,0.020175842568278313,389.8868408203125,-6.065582275390625,-237.83978271484375
11,0.548,-0.0023651123046875,-0.97705078125,-0.1290130615234375,0.020230436697602272,-0.013435115106403828,-0.0024652881547808647,389.673828125,-5.860076904296875,-237.994873046875
12,0.598,-0.008697509765625,-0.98760986328125,-0.1292877197265625,0.008144212886691093,-0.0016831178218126297,-0.03617851063609123,389.8321838378906,-5.7161407470703125,-237.48143005371094
13,0.648,0.01300048828125,-0.99090576171875,-0.1313629150390625,0.008137288503348827,0.025708559900522232,0.0019137475173920393,390.0904846191406,-5.791748046875,-237.7027587890625
14,0.697,-0.004486083984375,-0.9892730712890625,-0.147857666015625,0.014899320900440216,-0.03431429713964462,0.004817125853151083,389.867919921875,-5.615234375,-237.49429321289062
15,0.747,-0.002655029296875,-0.9897308349609375,-0.1336517333984375,0.04665325582027435,-0.02478870376944542,-0.011210310272872448,390.1081237792969,-5.8541412353515625,-237.693115234375
16,0.797,-0.0030975341796875,-0.9864501953125,-0.140167236328125,0.01968289166688919,0.011409780941903591,0.0032719597220420837,390.03497314453125,-5.7761077880859375,-237.71766662597656
17,0.847,0.0046539306640625,-0.977569580078125,-0.118255615234375,0.029636189341545105,-0.044685978442430496,0.0037864823825657368,390.1031188964844,-5.7335357666015625,-237.56680297851562
18,0.897,0.006805419921875,-0.978271484375,-0.1167144775390625,-0.028231104835867882,-0.009226255118846893,0.006180131807923317,389.97515869140625,-5.515411376953125,-237.5194854736328
