index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z
0,0,0.34600830078125,-0.4351043701171875,-0.9013824462890625,-0.9005695415256842,0,0.3267243346646249
1,0.05,0.4067230224609375,-0.39105224609375,-0.846893310546875,-0.9078865988705646,-0.03612707712966218,0.4067230224609375
2,0.1,0.302703857421875,-0.3935089111328125,-0.852081298828125,-0.9078618137739434,-0.07563805651818585,0.302703857421875
3,0.15,0.2526092529296875,-0.45587158203125,-0.821563720703125,-0.8744068925050824,-0.08263516220461756,0.2526092529296875
4,0.2,0.2501983642578125,-0.4128875732421875,-0.931671142578125,-0.9142438680385758,-0.0766053646633409,0.2501983642578125
5,0.25,0.1972503662109375,-0.48248291015625,-0.7183837890625,-0.8301465150744465,-0.07512673714613487,0.1972503662109375
6,0.299,0.2189178466796875,-0.62347412109375,-0.5130462646484375,-0.6354097851324215,-0.12131299780610957,0.2189178466796875
7,0.349,-0.1555328369140625,-0.706085205078125,-0.7171173095703125,-0.7125665862154971,-0.17317117540548596,-0.1555328369140625
8,0.399,-0.1879730224609375,-0.5717926025390625,-1.1049652099609375,-0.6991109427627046,-0.13364644874113613,-0.16599235471922436
9,0.449,-0.2028350830078125,-0.5649261474609375,-1.067901611328125,-0.6554069482889457,-0.03833048526521042,-0.19174661762687323
10,0.499,0.033905029296875,-0.5162506103515625,-0.6862640380859375,-0.799131357221763,-0.0367945267242373,0.033905029296875
11,0.549,0.1024627685546875,-0.4307098388671875,-0.3501434326171875,-0.6308006167988334,-0.1147005722339693,0.1024627685546875
12,0.598,0.2655029296875,-0.3060455322265625,-0.3034515380859375,-0.7040909875476824,-0.33568627556411174,0.2655029296875
13,0.648,-0.263702392578125,-0.3589019775390625,-0.73583984375,-0.898789760289637,-0.529527217239365,-0.263702392578125
14,0.698,-0.2740936279296875,-0.3907318115234375,-0.6612548828125,-0.8609320652110546,-0.5903778808835544,-0.2740936279296875
15,0.748,-0.083831787109375,-0.2425079345703125,-0.639801025390625,-0.9350824149982276,-0.5874000237457032,-0.083831787109375
16,0.798,0.158447265625,-0.21533203125,-0.725006103515625,-0.9586122845041372,-0.624585037007145,0.158447265625
17,0.848,0.6240234375,-0.4064788818359375,-0.606964111328125,-0.8308883795908595,-0.6895164758550448,0.6240234375
18,0.897,1.213134765625,-0.44586181640625,-1.461669921875,-0.8665053555243318,-0.7620867560084382,0.6465570763288147
19,1.001,1.7542572021484375,-0.5017242431640625,-3.2992095947265625,-0.8587474173225076,-0.8023594583741179,0.6939952002913466
20,1.213,-1.9198150634765625,-0.803802490234375,2.476654052734375,-0.7843930652936498,-0.823731166990673,0.6225689011443943
21,1.263,0.1888885498046875,-0.1971282958984375,-0.579864501953125,-0.9467855003796571,-0.8322808860213692,0.1888885498046875
22,1.312,0.357177734375,-0.2826385498046875,-1.418914794921875,-0.9555006180296821,-0.8497993227145394,0.17018051964396688
23,1.362,0.005584716796875,-0.749908447265625,-0.3673248291015625,-0.4398894046871551,-0.8579671606506327,0.005584716796875
24,1.412,0.04058837890625,-1.116851806640625,-0.79315185546875,-0.4388417992090809,-0.9048811787547295,-0.014902733697405829
25,1.462,0.128448486328125,-0.968719482421875,-1.2615509033203125,-0.4258769836558477,-0.922040577659487,-0.044130430272090286
26,1.512,0.1976470947265625,-0.8044891357421875,-0.545654296875,-0.5613259827816116,-0.9514311147587761,0.1976470947265625
27,1.562,0.240570068359375,-0.5257415771484375,-0.7864990234375,-0.8313623044588778,-0.968538827640357,0.240570068359375
28,1.611,0.7291259765625,-0.409454345703125,-0.8499755859375,-0.9009159590521598,-0.9781243917104243,0.7291259765624999
29,1.661,1.2478485107421875,-0.301727294921875,-0.8258819580078125,-0.9048405108975075,-0.9741106893756973,0.6805489723031909
30,1.711,1.1222381591796875,-0.3607940673828125,-0.7613067626953125,-0.909777696980654,-0.9639193499352051,0.6590857347030031
31,1.761,1.041473388671875,-0.494476318359375,-0.33642578125,-0.9151697127126788,-0.9489292728037558,0.6375844673637784
32,1.811,0.844085693359375,-0.5081329345703125,-0.3062896728515625,-0.5162420140060384,-0.9336428731080747,0.844085693359375
